"PFAM","bin","n_count","mean_tAI","label","source_df","additional"
"PF05001.17",10,249392,0.527570033351523,"highest","hilo_LCR_len",""
"PF00076.26",10,180684,0.519315780804343,"highest","hilo_LCR_len",""
"PF00076.26",9,146268,0.52249357905037,"highest","hilo_LCR_len",""
"PF00400.36",2,131930,0.515906690524068,"highest","hilo_LCR_len",""
"PF00271.35",9,120149,0.515051317509893,"highest","hilo_LCR_len",""
"PF00069.29",5,110476,0.516694040843515,"highest","hilo_LCR_len",""
"PF00076.26",6,108028,0.512410769030846,"highest","hilo_LCR_len",""
"PF00271.35",8,99978,0.511524660820058,"highest","hilo_LCR_len",""
"PF00076.26",5,99424,0.53793101099524,"highest","hilo_LCR_len",""
"PF00271.35",5,98224,0.510134814567966,"highest","hilo_LCR_len",""
"PF00069.29",9,284068,0.0810321825605803,"lowest","hilo_LCR_len",""
"PF00069.29",1,264425,0.068014419858565,"lowest","hilo_LCR_len",""
"PF00069.29",4,240249,0.0771045047148123,"lowest","hilo_LCR_len",""
"PF00069.29",7,238738,0.0714245383110537,"lowest","hilo_LCR_len",""
"PF00069.29",8,232694,0.0762880916120787,"lowest","hilo_LCR_len",""
"PF00069.29",5,231183,0.071529027790166,"lowest","hilo_LCR_len",""
"PF02013.20",10,225280,0.0812004004980538,"lowest","hilo_LCR_len",""
"PF00069.29",2,217584,0.0637370810196948,"lowest","hilo_LCR_len",""
"PF02013.20",4,215040,0.0751597309278171,"lowest","hilo_LCR_len",""
"PF00069.29",3,211540,0.0605584430634282,"lowest","hilo_LCR_len",""
"PF00076.26",5,134796,0.531521180476352,"highest","hilo_LCR_presence",""
"PF00076.26",7,130972,0.514426790228203,"highest","hilo_LCR_presence",""
"PF00400.36",2,126920,0.501435725356181,"highest","hilo_LCR_presence",""
"PF00271.35",8,112256,0.517034099856903,"highest","hilo_LCR_presence",""
"PF00400.36",1,111890,0.510197996383608,"highest","hilo_LCR_presence",""
"PF00076.26",8,109940,0.520767562931751,"highest","hilo_LCR_presence",""
"PF05001.17",6,107536,0.549400736381036,"highest","hilo_LCR_presence",""
"PF00400.36",6,105210,0.519492017646562,"highest","hilo_LCR_presence",""
"PF00271.35",3,104363,0.532220058155918,"highest","hilo_LCR_presence",""
"PF00271.35",7,98224,0.506179218356606,"highest","hilo_LCR_presence",""
"PF00069.29",9,281046,0.0812244532736973,"lowest","hilo_LCR_presence",""
"PF00069.29",10,276513,0.0821983613979965,"lowest","hilo_LCR_presence",""
"PF00069.29",5,264425,0.0660435062239562,"lowest","hilo_LCR_presence",""
"PF00069.29",1,258381,0.0613117188549565,"lowest","hilo_LCR_presence",""
"PF00069.29",7,241760,0.0704649388434801,"lowest","hilo_LCR_presence",""
"PF02013.20",1,213760,0.0809245276162803,"lowest","hilo_LCR_presence",""
"PF00069.29",4,207007,0.0722155461261831,"lowest","hilo_LCR_presence",""
"PF00069.29",2,200963,0.0697265334002646,"lowest","hilo_LCR_presence",""
"PF02013.20",6,199680,0.0708260581896901,"lowest","hilo_LCR_presence",""
"PF02013.20",7,199680,0.0859451317378867,"lowest","hilo_LCR_presence",""
"PF00400.36",3,2342340,0.550873147917226,"highest","hilo_prot_len",""
"PF00400.36",8,2072070,0.547805998744228,"highest","hilo_prot_len",""
"PF00400.36",5,1524600,0.554455148531938,"highest","hilo_prot_len",""
"PF00400.36",9,1316700,0.549544346418679,"highest","hilo_prot_len",""
"PF00400.36",6,1237005,0.536082442207069,"highest","hilo_prot_len",""
"PF00400.36",4,1119195,0.549492141482581,"highest","hilo_prot_len",""
"PF00069.29",3,1093906,0.538562083650994,"highest","hilo_prot_len",""
"PF00400.36",7,925155,0.561259929942164,"highest","hilo_prot_len",""
"PF00400.36",10,900900,0.552494752067102,"highest","hilo_prot_len",""
"PF00069.29",4,863610,0.544918599427359,"highest","hilo_prot_len",""
"PF07714.21",2,7721004,0.0540730285353443,"lowest","hilo_prot_len",""
"PF00067.26",5,6517728,0.0388236194877212,"lowest","hilo_prot_len",""
"PF07714.21",1,6328128,0.0547290168066458,"lowest","hilo_prot_len",""
"PF13516.10",7,4850930,0.0587621748432621,"lowest","hilo_prot_len",""
"PF00069.29",3,4275414,0.0519385374635194,"lowest","hilo_prot_len",""
"PF07714.21",3,4063988,0.0512248813937187,"lowest","hilo_prot_len",""
